52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	52
52	73	81	73	81	73	81	42	32	29	32	73	81	73	81	73	81	73	52
52	81	73	81	73	81	73	32	255	43	29	81	73	81	73	81	73	81	52
52	73	81	73	81	73	81	29	32	29	255	73	81	73	81	73	81	73	52
52	81	73	81	73	81	73	32	29	32	250	81	73	81	73	81	73	81	52
52	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	52
52	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	52
52	73	227	233	243	73	81	73	81	73	81	73	81	29	81	73	81	73	52
52	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	52
52	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	52
52	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	52
52	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	52
52	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	52
52	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	52
52	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	73	81	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52
