87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87
87	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	87
87	162	170	162	170	162	170	95	68	65	68	162	170	162	170	162	170	162	87
87	170	162	170	162	170	162	68	255	77	65	170	162	170	162	170	162	170	87
87	162	170	162	170	162	170	65	68	65	255	162	170	162	170	162	170	162	87
87	170	162	170	162	170	162	68	65	68	251	170	162	170	162	170	162	170	87
87	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	87
87	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	87
87	162	66	70	80	162	170	162	170	162	170	162	170	231	170	162	170	162	87
87	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	87
87	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	87
87	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	87
87	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	87
87	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	87
87	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	87
87	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	162	170	87
87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87
